time_tag,density,speed,temperature
2025-12-26 10:29:00,1.48,553.3,82511.0
2025-12-26 10:30:00,1.48,552.8,80313.0
2025-12-26 10:32:00,1.98,569.0,198383.0
2025-12-26 10:33:00,1.98,569.0,198383.0
2025-12-26 10:35:00,1.64,551.7,138186.0
2025-12-26 10:36:00,1.58,543.8,124090.0
2025-12-26 10:37:00,1.54,536.4,110904.0
2025-12-26 10:39:00,1.11,527.9,77447.0
2025-12-26 10:40:00,1.21,530.5,82643.0
2025-12-26 10:41:00,1.51,538.5,98230.0
2025-12-26 10:43:00,1.22,,
2025-12-26 10:44:00,1.22,538.2,87178.0
2025-12-26 10:45:00,1.23,552.8,97288.0
2025-12-26 10:46:00,1.23,553.0,97460.0
2025-12-26 10:48:00,1.18,542.0,119926.0
2025-12-26 10:49:00,0.8,513.8,67732.0
2025-12-26 10:50:00,0.65,502.7,47097.0
2025-12-26 10:51:00,1.52,537.5,133112.0
2025-12-26 10:52:00,1.43,537.0,137926.0
2025-12-26 10:53:00,1.34,536.7,142429.0
2025-12-26 10:55:00,2.04,511.6,162134.0
2025-12-26 10:56:00,1.94,515.1,154326.0
2025-12-26 10:57:00,1.65,525.7,130901.0
2025-12-26 10:59:00,2.18,,
2025-12-26 11:00:00,2.18,514.3,108008.0
2025-12-26 11:01:00,2.07,519.2,158798.0
2025-12-26 11:02:00,2.07,519.3,159659.0
2025-12-26 11:04:00,2.37,513.5,139244.0
2025-12-26 11:05:00,2.22,511.8,136261.0
2025-12-26 11:06:00,2.16,511.1,135082.0
2025-12-26 11:07:00,2.41,516.1,143584.0
2025-12-26 11:08:00,2.21,516.3,140443.0
2025-12-26 11:09:00,2.02,516.4,137505.0
2025-12-26 11:11:00,1.44,520.6,119830.0
2025-12-26 11:12:00,1.42,522.5,121732.0
2025-12-26 11:13:00,1.39,527.9,127440.0
2025-12-26 11:15:00,1.07,,
2025-12-26 11:16:00,1.07,519.2,88717.0
2025-12-26 11:17:00,1.19,537.9,110627.0
2025-12-26 11:18:00,1.2,538.2,110999.0
2025-12-26 11:20:00,1.28,528.9,107582.0
2025-12-26 11:21:00,2.17,523.8,172899.0
2025-12-26 11:22:00,2.52,521.8,198721.0
2025-12-26 11:23:00,2.26,510.1,144440.0
2025-12-26 11:24:00,2.2,514.6,137258.0
2025-12-26 11:25:00,2.14,518.7,130539.0
2025-12-26 11:27:00,1.85,517.9,115788.0
2025-12-26 11:28:00,1.81,519.0,118244.0
2025-12-26 11:29:00,1.71,522.3,125612.0
2025-12-26 11:31:00,1.89,,
2025-12-26 11:32:00,1.89,525.4,137537.0
2025-12-26 11:33:00,1.73,516.1,126273.0
2025-12-26 11:34:00,1.73,515.9,126083.0
2025-12-26 11:36:00,1.45,516.5,112473.0
2025-12-26 11:40:00,1.82,539.1,140194.0
2025-12-26 11:41:00,1.64,532.6,117100.0
2025-12-26 11:42:00,1.41,524.7,88873.0
2025-12-26 11:43:00,0.67,507.2,51974.0
2025-12-26 11:44:00,0.94,514.4,61907.0
2025-12-26 11:45:00,1.75,535.8,91708.0
2025-12-26 11:47:00,1.86,,
2025-12-26 11:48:00,1.86,526.8,92282.0
2025-12-26 11:49:00,1.96,519.0,114221.0
2025-12-26 11:50:00,1.96,518.8,114593.0
2025-12-26 11:52:00,1.14,496.0,67110.0
2025-12-26 11:53:00,2.09,515.8,123452.0
2025-12-26 11:54:00,2.47,523.6,145727.0
2025-12-26 11:56:00,2.89,524.4,163485.0
2025-12-26 11:57:00,2.89,524.4,163485.0
2025-12-26 11:59:00,1.99,503.1,93302.0
2025-12-26 12:00:00,2.12,504.5,101977.0
2025-12-26 12:01:00,2.49,508.6,128004.0
2025-12-26 12:03:00,2.16,,
2025-12-26 12:04:00,2.16,506.8,117386.0
2025-12-26 12:05:00,2.54,513.6,130105.0
2025-12-26 12:06:00,2.55,513.7,130321.0
2025-12-26 12:08:00,1.93,505.3,94128.0
2025-12-26 12:09:00,2.57,513.6,136590.0
2025-12-26 12:10:00,2.83,516.8,153377.0
2025-12-26 12:15:00,2.41,510.8,123230.0
2025-12-26 12:16:00,2.48,512.5,122103.0
2025-12-26 12:17:00,2.67,517.9,118722.0
2025-12-26 12:19:00,3.28,,
2025-12-26 12:20:00,3.28,527.9,158430.0
